Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,No log,0.458816,0.870833,0.758351,0.870833,0.810709
2,No log,0.385372,0.870833,0.758351,0.870833,0.810709
3,No log,0.407020,0.870833,0.758351,0.870833,0.810709
4,0.495300,0.389011,0.870833,0.758351,0.870833,0.810709
5,0.495300,0.368831,0.870833,0.758351,0.870833,0.810709
6,0.495300,0.354850,0.870833,0.758351,0.870833,0.810709
7,0.495300,0.313834,0.870833,0.758351,0.870833,0.810709
8,0.421700,0.332994,0.870833,0.831214,0.870833,0.830841
9,0.421700,0.294638,0.900000,0.888148,0.900000,0.884452
10,0.421700,0.275279,0.904167,0.893843,0.904167,0.890534
11,0.421700,0.299561,0.900000,0.890864,0.900000,0.893532
12,0.374700,0.268437,0.900000,0.888283,0.900000,0.889395
13,0.374700,0.267043,0.900000,0.888283,0.900000,0.889395
14,0.374700,0.272175,0.904167,0.893958,0.904167,0.895060
15,0.357900,0.271824,0.904167,0.893958,0.904167,0.895060